n,caso,k,p,disponibilidade_experimental
4,k = n/2,2,0.7000000000000001,0.91618
4,k = n/2,2,0.75,0.94816
4,k = n/2,2,0.8,0.97274
4,k = n/2,2,0.8500000000000001,0.98833
4,k = n/2,2,0.9,0.99648
4,k = n/2,2,0.9500000000000001,0.99956
4,k = n/2,2,1.0,1.0
4,k = n,4,0.0,0.0
4,k = n,4,0.05,0.0
4,k = n,4,0.1,0.00013
4,k = n,4,0.15000000000000002,0.00037
4,k = n,4,0.2,0.0016
4,k = n,4,0.25,0.00356
4,k = n,4,0.30000000000000004,0.00774
4,k = n,4,0.35000000000000003,0.01501
4,k = n,4,0.4,0.02618
4,k = n,4,0.45,0.0415
4,k = n,4,0.5,0.06171
4,k = n,4,0.55,0.09121
4,k = n,4,0.6000000000000001,0.13098
4,k = n,4,0.65,0.177
4,k = n,4,0.7000000000000001,0.2407
4,k = n,4,0.75,0.31463
4,k = n,4,0.8,0.41159
4,k = n,4,0.8500000000000001,0.52021
4,k = n,4,0.9,0.65405
4,k = n,4,0.9500000000000001,0.81448
4,k = n,4,1.0,1.0
8,k = 1,1,0.0,0.0
8,k = 1,1,0.05,0.34186
8,k = 1,1,0.1,0.57124
8,k = 1,1,0.15000000000000002,0.72803
8,k = 1,1,0.2,0.83204
8,k = 1,1,0.25,0.90033
8,k = 1,1,0.30000000000000004,0.94203
8,k = 1,1,0.35000000000000003,0.96884
8,k = 1,1,0.4,0.98323
8,k = 1,1,0.45,0.9917
8,k = 1,1,0.5,0.99617
8,k = 1,1,0.55,0.99824
8,k = 1,1,0.6000000000000001,0.99932
8,k = 1,1,0.65,0.9998
8,k = 1,1,0.7000000000000001,0.9999
8,k = 1,1,0.75,1.0
8,k = 1,1,0.8,1.0
8,k = 1,1,0.8500000000000001,1.0
8,k = 1,1,0.9,1.0
8,k = 1,1,0.9500000000000001,1.0
8,k = 1,1,1.0,1.0
8,k = n/2,4,0.0,0.0
8,k = n/2,4,0.05,0.00035
8,k = n/2,4,0.1,0.00469
8,k = n/2,4,0.15000000000000002,0.0207
8,k = n/2,4,0.2,0.05635
8,k = n/2,4,0.25,0.113
8,k = n/2,4,0.30000000000000004,0.1927
8,k = n/2,4,0.35000000000000003,0.29401
8,k = n/2,4,0.4,0.40776
8,k = n/2,4,0.45,0.52395
8,k = n/2,4,0.5,0.63375
8,k = n/2,4,0.55,0.74053
8,k = n/2,4,0.6000000000000001,0.82609
8,k = n/2,4,0.65,0.89361
8,k = n/2,4,0.7000000000000001,0.94052
8,k = n/2,4,0.75,0.97189
8,k = n/2,4,0.8,0.98944
8,k = n/2,4,0.8500000000000001,0.99731
8,k = n/2,4,0.9,0.99964
8,k = n/2,4,0.9500000000000001,0.99998
8,k = n/2,4,1.0,1.0
8,k = n,8,0.0,0.0
8,k = n,8,0.05,0.0
8,k = n,8,0.1,0.0
8,k = n,8,0.15000000000000002,0.0
8,k = n,8,0.2,0.0
8,k = n,8,0.25,2e-05
8,k = n,8,0.30000000000000004,5e-05
8,k = n,8,0.35000000000000003,0.00024
8,k = n,8,0.4,0.00079
8,k = n,8,0.45,0.00178
8,k = n,8,0.5,0.00378
8,k = n,8,0.55,0.00901
8,k = n,8,0.6000000000000001,0.01659
8,k = n,8,0.65,0.03182
8,k = n,8,0.7000000000000001,0.0566
8,k = n,8,0.75,0.10067
8,k = n,8,0.8,0.16881
8,k = n,8,0.8500000000000001,0.27313
8,k = n,8,0.9,0.42898
8,k = n,8,0.9500000000000001,0.66641
8,k = n,8,1.0,1.0
16,k = 1,1,0.0,0.0
16,k = 1,1,0.05,0.55987
16,k = 1,1,0.1,0.81554
16,k = 1,1,0.15000000000000002,0.92483
16,k = 1,1,0.2,0.97266
16,k = 1,1,0.25,0.98967
16,k = 1,1,0.30000000000000004,0.99674
16,k = 1,1,0.35000000000000003,0.99887
16,k = 1,1,0.4,0.99961
16,k = 1,1,0.45,0.99997
16,k = 1,1,0.5,0.99999
16,k = 1,1,0.55,1.0
16,k = 1,1,0.6000000000000001,1.0
16,k = 1,1,0.65,1.0
16,k = 1,1,0.7000000000000001,1.0
16,k = 1,1,0.75,1.0
16,k = 1,1,0.8,1.0
16,k = 1,1,0.8500000000000001,1.0
16,k = 1,1,0.9,1.0
16,k = 1,1,0.9500000000000001,1.0
16,k = 1,1,1.0,1.0
16,k = n/2,8,0.0,0.0
16,k = n/2,8,0.05,0.0
16,k = n/2,8,0.1,2e-05
16,k = n/2,8,0.15000000000000002,0.00107
16,k = n/2,8,0.2,0.00754
16,k = n/2,8,0.25,0.02603
16,k = n/2,8,0.30000000000000004,0.07487
16,k = n/2,8,0.35000000000000003,0.15946
16,k = n/2,8,0.4,0.28469
16,k = n/2,8,0.45,0.43625
16,k = n/2,8,0.5,0.59523
16,k = n/2,8,0.55,0.7454
16,k = n/2,8,0.6000000000000001,0.85728
16,k = n/2,8,0.65,0.93318
16,k = n/2,8,0.7000000000000001,0.97478
16,k = n/2,8,0.75,0.99233
16,k = n/2,8,0.8,0.99849
16,k = n/2,8,0.8500000000000001,0.9998
16,k = n/2,8,0.9,1.0
16,k = n/2,8,0.9500000000000001,1.0
16,k = n/2,8,1.0,1.0
16,k = n,16,0.0,0.0
16,k = n,16,0.05,0.0
16,k = n,16,0.1,0.0
16,k = n,16,0.15000000000000002,0.0
16,k = n,16,0.2,0.0
16,k = n,16,0.25,0.0
16,k = n,16,0.30000000000000004,0.0
16,k = n,16,0.35000000000000003,0.0
16,k = n,16,0.4,0.0
16,k = n,16,0.45,0.0
16,k = n,16,0.5,0.0
16,k = n,16,0.55,7e-05
16,k = n,16,0.6000000000000001,0.00029
16,k = n,16,0.65,0.00101
16,k = n,16,0.7000000000000001,0.00308
16,k = n,16,0.75,0.01037
16,k = n,16,0.8,0.02727
16,k = n,16,0.8500000000000001,0.0737
16,k = n,16,0.9,0.1845
16,k = n,16,0.9500000000000001,0.43947
16,k = n,16,1.0,1.0
